condition,trials,mean_time_margin,mean_final_margin,mean_final_atp,mean_cells,mean_max_abs_residual,exact_state_trials,exact_rng_trials,finite_trials,mean_budget_calls,mean_effector_calls,mean_spent_atp,mean_spent_signal
frozen_05,3,0.971213825687629,0.9813216720278125,0.964343962765518,2,5.385506042898669e-06,3,3,3,0,0,0.0,0.0
p0_unattached,3,0.971213825687629,0.9813216720278125,0.964343962765518,2,5.385506042898669e-06,3,3,3,0,0,0.0,0.0
p0_null_attachment,3,0.971213825687629,0.9813216720278125,0.964343962765518,2,5.385506042898669e-06,3,3,3,0,0,0.0,0.0
p0_budget_roundtrip,3,0.971213825687629,0.9813216720278125,0.964343962765518,2,5.385506042898669e-06,3,3,3,180,0,0.0,0.0
p0_paid_effector_stress,3,0.9717530301245861,0.9808080833334496,0.9015751334538323,2,5.420570001746228e-06,0,0,3,182,180,0.1643265014537617,0.011481373173715856
