scenario,condition,trials,survival_rate,novel_path_success_rate,mobile_spread_rate,mean_first_path_age,mean_wall_seconds,min_wall_seconds,max_wall_seconds,mean_final_cells,min_final_cells,max_final_cells,mean_deaths,min_deaths,max_deaths,mean_mean_margin_over_time,min_mean_margin_over_time,max_mean_margin_over_time,mean_final_margin,min_final_margin,max_final_margin,mean_mean_atp,min_mean_atp,max_mean_atp,mean_mean_damage,min_mean_damage,max_mean_damage,mean_mean_loop,min_mean_loop,max_mean_loop,mean_corpse_material,min_corpse_material,max_corpse_material,mean_necrophagy_mass,min_necrophagy_mass,max_necrophagy_mass,mean_necrotoxin_uptake,min_necrotoxin_uptake,max_necrotoxin_uptake,mean_edna_fragments,min_edna_fragments,max_edna_fragments,mean_edna_material,min_edna_material,max_edna_material,mean_hgt_attempts,min_hgt_attempts,max_hgt_attempts,mean_hgt_integrations,min_hgt_integrations,max_hgt_integrations,mean_hgt_digestions,min_hgt_digestions,max_hgt_digestions,mean_hgt_novel_path_events,min_hgt_novel_path_events,max_hgt_novel_path_events,mean_recipient_novel_path,min_recipient_novel_path,max_recipient_novel_path,mean_recipient_genome_length,min_recipient_genome_length,max_recipient_genome_length,mean_mean_genome_length,min_mean_genome_length,max_mean_genome_length,mean_max_genome_length,min_max_genome_length,max_max_genome_length,mean_mobile_exports,min_mobile_exports,max_mobile_exports,mean_mobile_carriers,min_mobile_carriers,max_mobile_carriers,mean_new_mobile_carriers,min_new_mobile_carriers,max_new_mobile_carriers,mean_ecology_atp_total,min_ecology_atp_total,max_ecology_atp_total,mean_cells_with_foreign_information,min_cells_with_foreign_information,max_cells_with_foreign_information,mean_matter_residual,min_matter_residual,max_matter_residual,mean_max_abs_matter_residual,min_max_abs_matter_residual,max_max_abs_matter_residual
corpse_hgt,hgt_full,3,1.0,1.0,0.0,0.5925925925925928,1.482103745142619,1.4712715148925781,1.4896817207336426,1.0,1.0,1.0,1.0,1.0,1.0,0.9145900732362159,0.9123576748268767,0.9159061060332307,0.6962096251542436,0.6457573522100727,0.7306175933554158,0.03577528036382144,0.025833673473696805,0.041758722482314325,0.001425152602199762,0.0013707699026078884,0.0014976826754020752,0.22278601571675458,0.17773576636864774,0.2597080308342517,0.006478910367609493,0.0,0.01943673110282848,0.2542492706011753,0.2173362161109574,0.2969644551278893,0.005483275754961426,0.005477841616350045,0.0054862896080411635,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.666666666666667,4.0,5.0,1.3333333333333333,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,538.6666666666666,528.0,544.0,538.6666666666666,528.0,544.0,538.6666666666666,528.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14048950619892522,0.13546196754441078,0.14370018012813557,1.0,1.0,1.0,-3.1801661641850387e-06,-3.601746923820315e-06,-2.871259548342664e-06,3.1801661641850387e-06,2.871259548342664e-06,3.601746923820315e-06
corpse_hgt,hgt_no_competence,3,1.0,0.0,0.0,,1.5620543956756592,1.5558700561523438,1.5681848526000977,1.0,1.0,1.0,1.0,1.0,1.0,0.9239533147750717,0.8830789487329791,0.9466997657240586,0.6388541721319373,0.546709222553154,0.7187507895349101,0.02584933980556518,0.010825621234990436,0.04005833815213661,0.0020181441462354508,0.0013773153549337972,0.003272921317321581,0.1876671151325271,0.1385286319696981,0.2424376189521158,0.0,0.0,0.0,0.27282536376725286,0.20947883394608172,0.30756526325005806,0.005416206545486424,0.0052786466829953934,0.005650915484138192,6.0,6.0,6.0,0.07872,0.07872,0.07872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0600215800287956,0.046085343468137925,0.06766435791501277,0.0,0.0,0.0,-3.629538798103719e-06,-3.8486718292318756e-06,-3.4597129836555496e-06,3.629538798103719e-06,3.4597129836555496e-06,3.8486718292318756e-06
corpse_hgt,hgt_no_edna,3,1.0,0.0,0.0,,1.517892837524414,1.5144867897033691,1.5212688446044922,1.0,1.0,1.0,1.0,1.0,1.0,0.9067233699799594,0.89679121672208,0.9214045423249982,0.5660346171446801,0.26628276164793097,0.7242890659287629,0.02685852816419838,0.0,0.04168657115913891,0.0018499931925837411,0.001653124639287862,0.0020410077598272845,0.16163893385221206,0.011984824574096364,0.24732533263468534,0.0,0.0,0.0,0.2992392776615824,0.2566147553137094,0.3416700618253638,0.006001825809190554,0.005733059172013753,0.0062940296976630615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06583264108554814,0.056455246169016024,0.07516741360158004,0.0,0.0,0.0,-3.199148223960909e-06,-3.42754102611309e-06,-2.774863713028708e-06,3.199148223960909e-06,2.774863713028708e-06,3.42754102611309e-06
corpse_hgt,hgt_no_recombination,3,1.0,0.0,0.0,,1.5072736740112305,1.5014851093292236,1.5114915370941162,1.0,1.0,1.0,1.0,1.0,1.0,0.9136193687582009,0.8971378132930148,0.9255551742701638,0.6334556113704793,0.5511222775831832,0.7288492229121244,0.025496507345170477,0.012732828567840656,0.04177139675380347,0.0015842982316372565,0.0013899669861214305,0.0018978398555262322,0.18003785766616565,0.12504051152849155,0.25589446447574155,0.014892942830897543,0.0,0.02283097936728109,0.2818823769998333,0.20576801475218548,0.3273263621471691,0.005719681578855329,0.005294631968294286,0.006007133448483236,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10233412293996334,0.08558896324548075,0.11233179967237729,0.0,0.0,0.0,-3.3756707574402376e-06,-3.4661935224278295e-06,-3.2168693753220623e-06,3.3756707574402376e-06,3.2168693753220623e-06,3.4661935224278295e-06
corpse_hgt,hgt_no_restriction,3,1.0,1.0,0.0,0.3518518518518519,1.4945279757181804,1.490706443786621,1.5014288425445557,1.0,1.0,1.0,1.0,1.0,1.0,0.909979467259007,0.8985258568952502,0.9159061060332307,0.696453953408232,0.6457573522100727,0.7306175933554158,0.0357827680704853,0.025833673473696805,0.041758722482314325,0.0014354967856320584,0.0014018024529047779,0.0014976826754020752,0.22323893124873698,0.17773576636864774,0.2597080308342517,0.012823354494543424,0.0,0.01943673110282848,0.2728450915372119,0.24844714056467923,0.2969644551278893,0.00556998035028652,0.005477841616350045,0.005745809826468351,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.333333333333333,4.0,5.0,1.6666666666666667,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,533.3333333333334,528.0,544.0,533.3333333333334,528.0,544.0,533.3333333333334,528.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1414872534715199,0.13845520936219483,0.14370018012813557,1.0,1.0,1.0,-3.553152469730018e-06,-3.990218464977602e-06,-3.0674920203921374e-06,3.553152469730018e-06,3.0674920203921374e-06,3.990218464977602e-06
corpse_resource,clean_full,3,1.0,1.0,0.0,,2.6246363321940103,2.4921674728393555,2.701443910598755,1.0,1.0,1.0,1.0,1.0,1.0,0.5846322379776216,0.5368317281251108,0.6645018333112898,0.29781791808575414,0.26618557466162773,0.31723236687882667,0.0,0.0,0.0,0.015681930808695854,0.011669186554230295,0.02101320637539829,0.026806370650342595,0.012627282421319304,0.035616831223670084,0.5882930434481143,0.36356042485068885,0.9586720498159715,2.570290170691226,2.0630601852248196,2.9032620262958564,0.043059612293933285,0.042952388113044394,0.04313951017150413,9.666666666666666,1.0,14.0,0.36872666666666665,0.33948,0.38622,1.0,0.0,2.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,496.0,480.0,512.0,496.0,480.0,512.0,496.0,480.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5859438375520698,0.46987324074946046,0.6841576457850889,0.6666666666666666,0.0,1.0,-7.267175264521105e-07,-8.385214478323633e-07,-6.48013463333541e-07,7.267175264521105e-07,6.48013463333541e-07,8.385214478323633e-07
corpse_resource,clean_immediate_recycle,3,1.0,1.0,0.0,,2.482834974924723,2.4503867626190186,2.5441434383392334,1.0,1.0,1.0,1.0,1.0,1.0,0.4434740315193933,0.4151571499025633,0.46589766660019566,0.29035258226633137,0.24226027273929657,0.38639093127335156,0.001225063928772077,0.0,0.003675191786316231,0.02641771828022969,0.024539827825564,0.02790597091822329,0.01771974760292792,0.000336122086298457,0.05164211263897627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0487533029912964e-07,-4.644044029333827e-07,-3.1108469933371907e-07,4.0487533029912964e-07,3.1108469933371907e-07,4.644044029333827e-07
corpse_resource,clean_no_nutrition,3,1.0,1.0,0.0,,2.7176290353139243,2.625415325164795,2.7998294830322266,1.0,1.0,1.0,1.0,1.0,1.0,0.5507419544721791,0.5169286443327392,0.5698388287489471,0.4341860363256873,0.24560266642104797,0.5542716469855364,0.008742313879761385,0.0,0.016038280862950255,0.008919503780279952,0.006392422026391355,0.013318113242921826,0.06856596490076552,0.004856910710102034,0.11118033340070053,1.8843765591485173,1.8768003987248578,1.8941158793123842,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,1.0,14.0,0.35178,0.31488,0.38622,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02016,0.0,0.04032,0.0,0.0,0.0,-7.126070210953609e-07,-8.156586197571869e-07,-5.36726712851987e-07,7.126070210953609e-07,5.36726712851987e-07,8.156586197571869e-07
corpse_resource,toxic_full,3,1.0,1.0,0.0,,2.752413352330526,2.7301547527313232,2.780548572540283,1.0,1.0,1.0,1.0,1.0,1.0,0.5532746298006451,0.5477904300326923,0.5626897214098052,0.2891332350712498,0.24307974638957075,0.3208718161466143,0.00021082657258579397,0.0,0.0006324797177573819,0.024594596028426858,0.02266585193025882,0.02671580169929403,0.023597396453339827,0.0028533634197510293,0.03968686592550576,1.0359401748133736,0.8196232174774815,1.2492407048596588,2.1004134051703063,1.839416620924587,2.362793286190124,0.07910777372552956,0.07037217922958272,0.08749437494405558,16.0,14.0,17.0,0.37610666666666664,0.35424,0.3936,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,501.3333333333333,480.0,528.0,501.3333333333333,480.0,528.0,501.3333333333333,480.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48342428247080066,0.40467165660340926,0.5358145229618266,0.6666666666666666,0.0,1.0,-7.091387666709655e-07,-7.708119476035336e-07,-6.495159396990857e-07,7.091387666709655e-07,6.495159396990857e-07,7.708119476035336e-07
corpse_resource,toxic_no_detox,3,1.0,1.0,0.0,,2.705143610636393,2.673466920852661,2.76328182220459,1.0,1.0,1.0,1.0,1.0,1.0,0.5499288104624224,0.5404458627582852,0.5644512390679127,0.2876046737764318,0.2517304709081315,0.3173416205862591,0.0,0.0,0.0,0.0313265958379565,0.0254799056221093,0.03631614581676593,0.02361646051096748,0.00920748371633813,0.037838036989419115,0.7789604904548856,0.5740125720917042,1.0164058867487813,2.4045320656013307,2.1190799865502927,2.6693454861908625,0.15108265735319362,0.13836040457639792,0.16230197804522106,9.333333333333334,1.0,15.0,0.36927333333333334,0.34112,0.38622,1.0,0.0,2.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,485.3333333333333,480.0,496.0,485.3333333333333,480.0,496.0,485.3333333333333,480.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5432903877656267,0.49307759704106485,0.6032560069619903,0.3333333333333333,0.0,1.0,-6.625720345709851e-07,-7.309302763047754e-07,-6.238228156263403e-07,6.625720345709851e-07,6.238228156263403e-07,7.309302763047754e-07
