condition,seed,seconds,simulated_seconds,wall_seconds,cells,divisions,deaths,mean_margin_over_life,mean_patch_distance_over_life,uptake_during_trial,mean_atp,mean_damage,p1_tissues,p1_mature_tissues,p1_tissue_creations,p1_tissue_turnovers,p1_predictor_updates,p1_prediction_error,p1_motor_force_total,p1_neural_atp_total,p1_neural_signal_total,p1_wear_material_total,neural_budget_requested,neural_budget_granted,neural_budget_spent,neural_spent_atp,neural_spent_signal,neural_effector_calls,p1_patch_switches,finite,final_mass_residual
moving_neuron,101,40.0,40.00000000000063,3.684152126312256,1,0,0,0.5979217296955679,0.30394166397473366,1.5151706947962502,0.0,0.015253149832261542,1,0,1,0,338,0.26214243761751477,3.647878511354249,0.13906675706047905,0.01742340179455786,0.0004665274816187917,2.5998772612672156,0.8339084125421878,0.17626204764260478,0.1588386458480469,0.017423401794557876,338,2,1,-1.0491930745537559e-05
moving_neuron,202,40.0,40.00000000000063,3.4845309257507324,1,0,0,0.6229519760477421,0.3088916938337061,1.444628167962045,0.0,0.014441253339158482,1,0,1,0,355,0.26754672033182053,3.7427988777850785,0.14312415146315363,0.017944410769604756,0.0005300000000000011,2.559602504645945,0.8704584352594518,0.18087463499202097,0.16293022422241624,0.017944410769604745,355,2,1,-1.0021149325467604e-05
moving_neuron,303,40.0,40.00000000000063,3.308290481567383,1,0,0,0.6022984319231878,0.304504009420572,1.4665966500062015,0.0,0.015067643066310452,1,0,1,0,337,0.24482563869074303,3.5683093147380878,0.1365823367261158,0.017118102467945776,0.00044500000000000084,2.6221276668372377,0.8722434890579495,0.17346714744606265,0.15634904497811689,0.017118102467945755,337,2,1,-9.864468907494484e-06
moving_dummy_equal_cost,101,40.0,40.00000000000063,2.945683002471924,1,0,0,0.47195740492811356,0.2819676493355411,0.11088404245049079,0.0,0.021805220430259693,1,0,1,0,162,0.6428224003923387,1.6296545650727416,0.06112336303510083,0.007711259267719918,0.00011499999999999999,2.7559703655299046,0.5368558816389617,0.08716986674726522,0.0794586074795453,0.007711259267719916,162,2,1,-8.750820438052642e-06
moving_dummy_equal_cost,202,40.0,40.00000000000063,2.879885673522949,1,0,0,0.4698633499743428,0.2781853513280127,0.1133642180330964,0.0,0.02152631140046385,1,0,1,0,161,0.6436505827068975,1.6152321637356546,0.060491416413304945,0.007632840386308551,0.00010499999999999999,2.764498456455563,0.5430148864590265,0.08645461235516906,0.07882177196886052,0.007632840386308545,161,2,1,-7.700740845884013e-06
moving_dummy_equal_cost,303,40.0,40.00000000000063,2.9178991317749023,1,0,0,0.4727776475084907,0.2757035867058053,0.16656971820708508,0.0,0.01807269555076429,1,0,1,0,161,0.6436505827068975,1.613410679890641,0.06039248964696196,0.007621284040363931,0.00010499999999999999,2.7645391019231638,0.6156767409274015,0.08634412924288141,0.07872284520251747,0.007621284040363938,161,2,1,-7.524963280047814e-06
moving_no_prediction,101,40.0,40.00000000000063,3.3199801445007324,1,0,0,0.5920867876281459,0.3083392791854885,1.4336415906719169,0.0,0.015399310163102663,1,0,1,0,0,0.27041411727955306,3.7584946799320056,0.14239939432129112,0.017853202685511792,0.000515000000000001,2.5630466293292504,0.7968827037545255,0.18004629866269503,0.16219309597718323,0.017853202685511792,345,2,1,-1.0691745090163352e-05
moving_no_prediction,202,40.0,40.00000000000063,3.265517473220825,1,0,0,0.6229828339383482,0.31191947275650195,1.2955926500209867,0.0,0.014185069212763468,1,0,1,0,0,0.1983333985919166,3.6216742554463943,0.13922320034473137,0.017471026118445032,0.0004750000000000009,2.5911050449522435,0.8821772191270159,0.17647139643213175,0.15900037031368675,0.017471026118445015,348,2,1,-1.0018751519957902e-05
moving_no_prediction,303,40.0,40.00000000000063,3.4641530513763428,1,0,0,0.6236928367498974,0.3165273077224544,1.6055450980168204,0.0,0.01428802704705863,1,0,1,0,0,0.23389050332863862,3.9811299780203253,0.1532733589397952,0.019204015129097904,0.0006150000000000013,2.475461730785767,0.792355293331588,0.19232904154434233,0.1731250264152444,0.019204015129097928,363,2,1,-1.093695531739769e-05
moving_no_effector,101,40.0,40.00000000000063,4.377897024154663,1,0,0,0.5617179555162247,0.3286332791401551,0.21177923727067738,0.0,0.01562255225778146,1,1,1,0,703,0.2743856444326778,0.0,0.0,0.0,0.00010499999999999999,0.12341444444444565,0.1193144444444445,0.01833035555555555,0.01833035555555555,0.0,0,2,1,-9.161089894682561e-06
moving_no_effector,202,40.0,40.00000000000063,3.910926103591919,1,0,0,0.5686482314813268,0.29158547344512437,0.11402042185121719,0.0,0.016471480397742544,1,1,1,0,703,0.2998801008886658,0.0,0.0,0.0,0.00010499999999999999,0.12341444444444565,0.1193144444444445,0.01833035555555555,0.01833035555555555,0.0,0,2,1,-7.620879969749694e-06
moving_no_effector,303,40.0,40.00000000000063,4.023265600204468,1,0,0,0.5560163174836402,0.33458298412697424,0.14235939673474726,0.0,0.01621284577821483,1,1,1,0,703,0.20177317367866793,0.0,0.0,0.0,0.00010499999999999999,0.12341444444444565,0.1193144444444445,0.01833035555555555,0.01833035555555555,0.0,0,2,1,-7.476644542592226e-06
moving_gene_only,101,40.0,40.00000000000063,2.369558811187744,1,0,0,0.5614452902249738,0.3520120069738107,0.3229686778059181,0.0,0.015561045428352894,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,-9.749923512991643e-06
moving_gene_only,202,40.0,40.00000000000063,2.2965760231018066,1,0,0,0.5950108540361843,0.2985954767876551,0.024269805662749642,0.0,0.016227810330947355,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,-7.81475615685423e-06
moving_gene_only,303,40.0,40.00000000000063,2.402170419692993,1,0,0,0.5840877078400643,0.3263735597957071,0.1456569502868591,0.0,0.015038968599059115,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,-8.07520089551872e-06
moving_no_gene_no_tissue,101,40.0,40.00000000000063,2.4848124980926514,1,0,0,0.599026530958342,0.34122198498639716,0.2617504522578008,0.0,0.014264147416840824,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,-9.344241852282664e-06
moving_no_gene_no_tissue,202,40.0,40.00000000000063,2.301379442214966,1,0,0,0.6093087327822377,0.30191118617388846,0.11567230364691222,0.0,0.014634147094445882,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,-7.2755762152709735e-06
moving_no_gene_no_tissue,303,40.0,40.00000000000063,2.3439722061157227,1,0,0,0.5904796279010031,0.33288346829384496,0.14151359608267458,0.0,0.014815283820243216,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,-8.086292671904971e-06
