condition,n,survived,finite,mean_margin_over_life_mean,mean_margin_over_life_sd,mean_patch_distance_over_life_mean,mean_patch_distance_over_life_sd,uptake_during_trial_mean,uptake_during_trial_sd,mean_atp_mean,mean_atp_sd,mean_damage_mean,mean_damage_sd,p1_prediction_error_mean,p1_prediction_error_sd,p1_motor_force_total_mean,p1_motor_force_total_sd,p1_neural_atp_total_mean,p1_neural_atp_total_sd,p1_neural_signal_total_mean,p1_neural_signal_total_sd,p1_wear_material_total_mean,p1_wear_material_total_sd,neural_budget_spent_mean,neural_budget_spent_sd,p1_patch_switches_mean,p1_patch_switches_sd,margin_gain_vs_moving_dummy,uptake_gain_vs_moving_dummy,wins_margin_vs_moving_dummy,wins_uptake_vs_moving_dummy
moving_neuron,3,3,3,0.6077240458888326,0.01091501330861252,0.3057791224096706,0.0022128614585954446,1.475465170921499,0.029473717336608474,0.0,0.0,0.014920682079243491,0.0003473635249207311,0.2581715988800261,0.009691493106310045,3.652995567959138,0.07132690050888078,0.13959108174991616,0.0026962965092136183,0.0174953050107028,0.0003411489476427429,0.0004805091605395979,3.6081994670319026e-05,0.17686794336022946,0.0030542920785193274,2.0,0.0,0.13619124508518357,1.3451925113579415,3,3
moving_dummy_equal_cost,3,3,3,0.471532800803649,0.0012270558330870283,0.278618862456453,0.0025755994876499834,0.1302726595635574,0.025685860797449146,0.0,0.0,0.02046807579382928,0.0016976125281062558,0.6433745219353778,0.0003904088871221623,1.6194324695663456,0.007266263517371283,0.060669089698455914,0.0003237486932428218,0.0076551278981308,3.9970282893340994e-05,0.00010833333333333333,4.714045207910317e-06,0.0866562027817719,0.00036600512893485924,2.0,0.0,0.0,0.0,0,0
moving_no_prediction,3,3,3,0.6129208194387972,0.014734736444052264,0.3122620198881483,0.0033515127662585896,1.4449264462365747,0.12678890850146396,0.0,0.0,0.014624135474308254,0.0005497405009161562,0.23421267306670276,0.02942771195813723,3.787099637799575,0.14813459382993738,0.1449653178686059,0.006016073574162798,0.018176081311018243,0.0007434158472293534,0.0005350000000000011,5.887840577551913e-05,0.1829489122130564,0.0067914211175207385,2.0,0.0,0.14138801863514813,1.314653786673017,3,3
moving_no_effector,3,3,3,0.5621275014937307,0.005165082041426903,0.3182672455707512,0.019022573786258164,0.15605301861888063,0.04106769174816325,0.0,0.0,0.01610229281124628,0.00035528037339882084,0.25867963966667046,0.0415632147531872,0.0,0.0,0.0,0.0,0.0,0.0,0.00010499999999999999,0.0,0.01833035555555555,0.0,2.0,0.0,0.09059470069008156,0.02578035905532319,3,2
moving_gene_only,3,3,3,0.5801812840337407,0.01397871903304134,0.32566034785239095,0.021813037809823507,0.16429847791850896,0.12265366951768816,0.0,0.0,0.015609274786119788,0.00048653928863810715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.10864848323009174,0.034025818354951526,3,1
moving_no_gene_no_tissue,3,3,3,0.5996049638805276,0.007697823767846557,0.32533887981804355,0.016912033926000363,0.1729787839957959,0.06365139387424934,0.0,0.0,0.01457119277717664,0.00022936182236219158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.12807216307687858,0.04270612443223845,3,2
stable_neuron,3,3,3,0.6338835384904349,0.008678243201603753,0.0965302923930963,0.014097738736054027,2.087726205979317,0.027661047869143755,0.0,0.0,0.013610274177699277,0.0006119169573939409,0.35000322519219246,0.02832892687631398,3.7774215223011964,0.06767294456219815,0.1523320442194869,0.003203832397558858,0.019100675124289708,0.000408555612047209,0.0006171758272062649,4.311093125998729e-05,0.19127624251859213,0.0036359460241438633,0.0,0.0,0.16235073768678585,1.9574535464157596,3,3
stable_dummy_equal_cost,3,3,3,0.4469059831950552,0.006249760353627501,0.2527372475700616,0.009998184943395936,0.05787936236284583,0.04244178493364729,0.0,0.0,0.02244722194670044,0.00011359872788820103,0.6433745219353778,0.0003904088871221623,1.6194324695663456,0.007266263517371283,0.060669089698455914,0.0003237486932428218,0.0076551278981308,3.9970282893340994e-05,0.00010833333333333333,4.714045207910317e-06,0.0866562027817719,0.00036600512893485924,0.0,0.0,-0.024626817608593865,-0.07239329720071158,0,1
