environment,replicates,mean_final_active_modules,mean_organ_frequency,retained_replicates,mean_score
stable,3,3.0416666666666665,0.7083333333333334,2,3.285268749534653
periodic,3,4.625,1.0,3,3.365831982610366
rare_fault,3,3.0416666666666665,0.7083333333333334,2,3.285268749534653
long_delay,3,4.625,1.0,3,3.3661068270045527
