condition,n,mean_max_generation,mean_mean_generation,mean_mean_active_modules,mean_mean_expressed_modules,mean_grammar_absent_frequency,mean_lineage_shannon,mean_unique_grammar_signatures,mean_mutation_events,mean_hgt_integrations,mean_grammar_hgt_acquisitions,mean_grammar_reentries,mean_mutation_reentries,mean_hgt_reentries,mean_persistent_reentry_cells,mean_persistent_reentry_grammar_cells,mean_persistent_hgt_reentry_cells,mean_persistent_hgt_reentry_grammar_cells,mean_reentry_lineage_frequency,mean_max_abs_material_residual,generation15_or_more,generation20_or_more,finite_count,external_fitness_zero_count
stable_hgt_on,3,19.666666666666668,19.11111111111111,0.5555555555555555,0.5555555555555555,0.1388888888888889,0.09561199435205357,5.333333333333333,39.333333333333336,62.0,28.333333333333332,10.666666666666666,0.0,10.666666666666666,10.0,10.0,10.0,10.0,0.8333333333333334,1.095183203384901e-11,3,1,3,3
stable_hgt_off,3,21.0,18.305555555555554,0.19444444444444445,0.19444444444444445,0.3888888888888889,0.6260141929683822,4.0,19.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.701276818911234e-12,3,3,3,3
long_delay_hgt_on,3,18.0,17.194444444444446,0.9444444444444445,0.9166666666666666,0.05555555555555555,0.23104906018664842,5.0,28.333333333333332,59.333333333333336,20.666666666666668,11.0,0.0,11.0,9.333333333333334,9.333333333333334,9.333333333333334,9.333333333333334,0.7777777777777778,1.7697251071998228e-11,3,1,3,3
long_delay_hgt_off,3,19.333333333333332,18.333333333333332,0.0,0.0,0.6666666666666666,0.0,1.6666666666666667,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.981260180007666e-12,3,2,3,3
