trial_type,seed_set,condition,control,n,wins_positive,final_margin_difference_mean,final_margin_difference_sd,final_mass_residual_mean,final_mass_residual_sd,margin_auc_difference_mean,margin_auc_difference_sd,mass_residual_control_mean,mass_residual_control_sd,mass_residual_treatment_mean,mass_residual_treatment_sd,mean_margin_over_life_mean,mean_margin_over_life_sd,p2_cue_toxin_total_mean,p2_cue_toxin_total_sd,p2_neural_atp_total_mean,p2_neural_atp_total_sd,p2_prediction_error_mean,p2_prediction_error_sd,p2_reward_uptake_total_mean,p2_reward_uptake_total_sd,post_switch_mean_margin_mean,post_switch_mean_margin_sd,pre_switch_mean_margin_mean,pre_switch_mean_margin_sd,reward_gain_difference_mean,reward_gain_difference_sd,toxin_gain_difference_mean,toxin_gain_difference_sd
independent,development,full,,3,,,,-1.9730189029824412e-05,3.37012843635532e-06,,,,,,,0.7409399983427122,0.18872904352410383,0.15296694530125812,0.04249175586483092,0.07437042587947226,0.024082797065649662,0.006746473252699096,0.0005025422189193319,5.954068091450576,3.1885928090311837,0.687720565514379,0.1311219699930409,0.7863765686976949,0.23791301202452497,,,,
independent,development,fixed,,3,,,,-1.951513018620214e-05,1.5401489546636385e-06,,,,,,,0.6638268333996576,0.22764441668279561,0.1401739651678869,0.08681431485297363,0.06093110035366888,0.031015059905877624,0.014264211667802404,0.0028284614756138742,5.0361941971196105,3.508376493533325,0.5290282387903361,0.20386097314523388,0.7789123482617866,0.2523206476709593,,,,
independent,development,no_recurrence,,3,,,,-1.834435474160993e-05,2.3822133835029777e-06,,,,,,,0.6675692389357595,0.20469514383890025,0.15216640088738398,0.08277157274617201,0.05472940342971141,0.020027413226611827,0.008145259617519822,0.0020523253940215713,4.794050310959283,2.952240626652488,0.5275640417686935,0.1672709956685247,0.7870999376499695,0.23811819328755052,,,,
independent,development,no_prediction,,3,,,,-1.9071205045406714e-05,1.38229919964878e-06,,,,,,,0.6646919753340672,0.22900074922822186,0.13219992151964732,0.08456480316522175,0.06070775647700172,0.030895962431540414,0.014239467982649565,0.003118711213328195,4.936647061989396,3.438401505201474,0.5307688435447608,0.20827359500631135,0.7790300559245265,0.25236017836074065,,,,
independent,development,no_plasticity,,3,,,,-2.1040722251323512e-05,2.10351738648e-06,,,,,,,0.7256202204057484,0.1786029714056678,0.14078720225720087,0.02810456215179932,0.07309352755904151,0.02297290108913231,0.007232092015510112,6.709913164753095e-05,5.7233461944555275,3.058271791082892,0.6549032953958437,0.11314252817172203,0.7859954323863985,0.23766468543075178,,,,
independent,development,none,,3,,,,-2.6717310528094156e-05,5.371584260656417e-06,,,,,,,0.5491676131861182,0.12403542995441406,0.06554758163419143,0.05228227806373359,0.0,0.0,0.0,0.0,2.0333764269791677,1.3915654072143653,0.44554004550474174,0.15339108880027263,0.6376405829161492,0.10783117404063079,,,,
common_twin,development,full,fixed,3,1,-0.0017240496758328856,0.003011061834454002,,,2.094042550837037,3.021900367198751,-2.0109464388203453e-05,1.5906362391614364e-06,-1.9965598529125828e-05,1.6952677106804585e-06,,,,,,,,,,,,,,,0.22941929939805825,0.328617435726919,0.026873431429687265,0.03416523161252526
common_twin,development,full,no_plasticity,3,2,0.00018591970605686772,0.0003221138078858657,,,1.0560543757408343,0.9843725091664812,-1.9874779361828132e-05,1.7728226500715067e-06,-1.9965598529125828e-05,1.6952677106804585e-06,,,,,,,,,,,,,,,0.1461171085510348,0.10379454008609112,0.006235418348419309,0.004423574659875858
common_twin,development,full,no_prediction,3,1,0.042853564792862626,0.060829088734559465,,,-0.17435862820970863,0.9560460257234852,-1.956368437916467e-05,2.098107660938728e-06,-1.9965598529125828e-05,1.6952677106804585e-06,,,,,,,,,,,,,,,0.024776137260680658,0.17648183231030493,-0.0008113825670652124,0.012008648001829013
common_twin,development,full,no_recurrence,3,2,-0.00840577041573709,0.011215493912609509,,,0.01696348793829709,0.044459583529631044,-2.0358971585920926e-05,1.5610290639650103e-06,-1.9965598529125828e-05,1.6952677106804585e-06,,,,,,,,,,,,,,,0.02666366950015771,0.03266931233265812,0.003483306425258391,0.008143130293059325
common_twin,holdout,full,fixed,6,5,0.11757169368675165,0.2587130317560458,,,1.8726775395344133,1.6271861795217004,-2.0687000631625097e-05,3.6019341821186726e-06,-1.9325088285171432e-05,3.369624610852794e-06,,,,,,,,,,,,,,,0.3174340034790529,0.31821140496487343,-0.01010742182785298,0.013526262266600583
