trial_type,seed_set,condition,control,seed,wall_seconds,cells,cells_control,cells_treatment,deaths,divisions,final_margin_control,final_margin_difference,final_margin_treatment,final_mass_residual,finite,finite_control,finite_treatment,margin_auc_control,margin_auc_difference,margin_auc_treatment,mass_residual_control,mass_residual_treatment,mean_atp,mean_damage,mean_margin_over_life,p2_cell_prune_count,p2_cue_episode_updates,p2_cue_toxin_total,p2_ligand_sensor_values,p2_neural_atp_total,p2_neural_signal_total,p2_nonreward_uptake_total,p2_plasticity_updates,p2_prediction_error,p2_prediction_rms,p2_predictor_updates,p2_recurrent_messages,p2_reward_uptake_total,p2_rewire_count,p2_wear_material_total,plasticity_control,plasticity_treatment,post_switch_mean_margin,pre_switch_mean_margin,predictor_control,predictor_treatment,recurrent_messages_control,recurrent_messages_treatment,reward_gain_control,reward_gain_difference,reward_gain_treatment,toxin_gain_control,toxin_gain_difference,toxin_gain_treatment,uptake_during_trial
common_twin,development,full,fixed,101,46.97153687477112,,1,1,,,0.24202119732952768,0.0007858684305231678,0.24280706576005084,,,1,1,20.831689837968376,6.367373353342167,27.199063191310543,-1.9188814995629855e-05,-1.853656890915545e-05,,,,,,,,,,,,,,,,,,,2744,7688,,,7632,14256,1540,1387,1.392824028409155,0.6941447992742349,2.08696882768339,0.13013564117401236,0.075084540526721,0.20522018170073336,
common_twin,development,full,fixed,202,27.342350482940674,,1,1,,,0.23884342188468646,8.062528811247915e-08,0.23884350250997458,,,1,1,13.65865926981003,-0.00013010768731902544,13.658529162122711,-2.2347284229340403e-05,-2.2347238012088155e-05,,,,,,,,,,,,,,,,,,,1216,4024,,,7632,14256,402,402,0.29773512216006426,-0.00033847084109028813,0.29739665131897397,0.014195377626552886,-2.7819442591572874e-08,0.014195349807110295,
common_twin,development,full,fixed,303,48.751383781433105,,1,1,,,0.5572210407701363,-0.005958098083309937,0.5512629426868264,,,1,1,18.456627957558144,-0.08511559314373685,18.371512364414407,-1.8792293939640103e-05,-1.901298866613388e-05,,,,,,,,,,,,,,,,,,,2672,7096,,,7632,14256,892,880,0.48817370721035314,-0.0055484302389698925,0.48262527697138324,0.14078537079767733,0.005535781581783389,0.14632115237946072,
common_twin,development,full,no_plasticity,101,46.16807317733765,,1,1,,,0.24288841250463747,-8.13467445866245e-05,0.24280706576005084,,,1,1,24.829525128985527,2.3695380623250166,27.199063191310543,-1.8278771886315326e-05,-1.853656890915545e-05,,,,,,,,,,,,,,,,,,,2744,7688,,,14256,14256,1460,1387,1.876170130757612,0.21079869692577802,2.08696882768339,0.19630457988616937,0.008915601814563995,0.20522018170073336,
common_twin,development,full,no_plasticity,202,47.361427307128906,,1,1,,,0.23884342170745296,8.080252161812851e-08,0.23884350250997458,,,1,1,13.658659127428013,-0.000129965305301738,13.658529162122711,-2.234727416450255e-05,-2.2347238012088155e-05,,,,,,,,,,,,,,,,,,,1216,4024,,,14256,14256,402,402,0.2977350990219031,-0.0003384477029291233,0.29739665131897397,0.014195376253402215,-2.644629192027903e-08,0.014195349807110295,
common_twin,development,full,no_plasticity,303,27.65273690223694,,1,1,,,0.5506239176265908,0.0006390250602356096,0.5512629426868264,,,1,1,17.57275733421162,0.7987550302027877,18.371512364414407,-1.899829203466652e-05,-1.901298866613388e-05,,,,,,,,,,,,,,,,,,,2672,7096,,,14256,14256,880,880,0.2547342005411277,0.22789107643025552,0.48262527697138324,0.13653047270247487,0.009790679676985853,0.14632115237946072,
common_twin,development,full,no_prediction,101,46.97549104690552,,1,1,,,0.2431250623335293,-0.00031799657347844623,0.24280706576005084,,,1,1,28.621736428112115,-1.4226732368015718,27.199063191310543,-1.7282009277863608e-05,-1.853656890915545e-05,,,,,,,,,,,,,,,,,,,8304,7688,,,7632,14256,1344,1387,2.264882181981724,-0.177913354298334,2.08696882768339,0.22112798955597546,-0.015907807855242095,0.20522018170073336,
common_twin,development,full,no_prediction,202,47.59161853790283,,1,1,,,0.23884350271117147,-2.0119689247977135e-10,0.23884350250997458,,,1,1,13.658529311551423,-1.4942871118250878e-07,13.658529162122711,-2.2347249139187397e-05,-2.2347238012088155e-05,,,,,,,,,,,,,,,,,,,4024,4024,,,7632,14256,402,402,0.29739667539598436,-2.407701038542598e-08,0.29739665131897397,0.014195351172732643,-1.3656223478430984e-09,0.014195349807110295,
common_twin,development,full,no_prediction,303,49.52989077568054,,1,1,,,0.4223842515335632,0.12887869115326323,0.5512629426868264,,,1,1,17.47191486281325,0.899597501601157,18.371512364414407,-1.9061794720443004e-05,-1.901298866613388e-05,,,,,,,,,,,,,,,,,,,7096,7096,,,7632,14256,882,880,0.2303834868139969,0.25224179015738635,0.48262527697138324,0.13284749085979192,0.013473661519668806,0.14632115237946072,
common_twin,development,full,no_recurrence,101,46.74122762680054,,1,1,,,0.2436429505179588,-0.0008358847579079676,0.24280706576005084,,,1,1,27.137493390873804,0.06156980043673954,27.199063191310543,-2.004656261433979e-05,-1.853656890915545e-05,,,,,,,,,,,,,,,,,,,8320,7688,,,14256,14256,1362,1387,2.068304714531009,0.018664113152381034,2.08696882768339,0.19068578955672938,0.014534392144003982,0.20522018170073336,
