condition,n,mean_active_modules,mean_absent_frequency,mean_margin_auc,generation2_replicates,grammar_hgt_acquisitions,max_material_residual
stable_holdout,3,1.1130952380952381,0.22023809523809523,45.851487332816056,3,0,4.6752997349130965e-06
periodic_holdout,3,1.2703703703703704,0.25555555555555554,48.82493840950581,3,0,5.45681149333177e-06
long_delay_holdout,3,1.2703703703703704,0.25555555555555554,48.82493840950581,3,0,5.45681149333177e-06
stable_mutation_off,3,0.9391534391534392,0.3544973544973545,48.29036001741544,3,0,5.2513523058905776e-06
periodic_hgt_off,3,1.125,0.2916666666666667,47.091355289107405,3,0,4.815427473658929e-06
absent_only,3,0.03333333333333333,0.8592592592592593,49.8330386212317,3,0,6.3118377440218865e-06
